ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,percent_price_change
ZUMZ,3/27/18,24.65,24.65,23.35,23.6,403884,0,1,24.65,24.65,23.35,23.6,403884,-4.26
ZUMZ,3/26/18,23.75,24.8,23.7,24.65,375320,0,1,23.75,24.8,23.7,24.65,375320,3.79
ZUMZ,3/23/18,23.55,24.2,23.45,23.55,301584,0,1,23.55,24.2,23.45,23.55,301584,0.00
ZUMZ,3/22/18,23.9,24.35,23.3,23.35,269607,0,1,23.9,24.35,23.3,23.35,269607,-2.30
ZUMZ,3/21/18,23.8,24.6,23.6058,23.95,354092,0,1,23.8,24.6,23.6058,23.95,354092,0.63
ZUMZ,3/20/18,23.1,24,22.95,23.8,404873,0,1,23.1,24,22.95,23.8,404873,3.03
ZUMZ,3/19/18,22.15,23.65,22.15,23.4,858257,0,1,22.15,23.65,22.15,23.4,858257,5.64
ZUMZ,3/16/18,20.4,23,19.3,22.1,2059778,0,1,20.4,23,19.3,22.1,2059778,8.33
ZUMZ,3/15/18,19.75,20.15,19.4,20,599736,0,1,19.75,20.15,19.4,20,599736,1.27
ZUMZ,3/14/18,20.1,20.2,19.15,19.6,357345,0,1,20.1,20.2,19.15,19.6,357345,-2.49
ZUMZ,3/13/18,19.9,20.2,19.75,20,240835,0,1,19.9,20.2,19.75,20,240835,0.50
ZUMZ,3/12/18,19.55,19.95,19.5,19.9,203999,0,1,19.55,19.95,19.5,19.9,203999,1.79
ZUMZ,3/9/18,20.3,20.35,19.45,19.55,275292,0,1,20.3,20.35,19.45,19.55,275292,-3.69
ZUMZ,3/8/18,20.3,20.45,19.825,20.25,276360,0,1,20.3,20.45,19.825,20.25,276360,-0.25
ZUMZ,3/7/18,20.7,20.9,19.95,20.1,387531,0,1,20.7,20.9,19.95,20.1,387531,-2.90
ZUMZ,3/6/18,20.3,20.95,20.25,20.9,223962,0,1,20.3,20.95,20.25,20.9,223962,2.96
ZUMZ,3/5/18,20.15,20.5,19.9,20.35,205387,0,1,20.15,20.5,19.9,20.35,205387,0.99
ZUMZ,3/2/18,19.55,20.3,19.25,20.2,138229,0,1,19.55,20.3,19.25,20.2,138229,3.32
ZUMZ,3/1/18,19.65,20,19.1,19.7,357290,0,1,19.65,20,19.1,19.7,357290,0.25
ZUMZ,2/28/18,20,20.35,19.7,19.7,214103,0,1,20,20.35,19.7,19.7,214103,-1.50
ZUMZ,2/27/18,20.7,21,19.7,19.8,226331,0,1,20.7,21,19.7,19.8,226331,-4.35
ZUMZ,2/26/18,20.35,20.8,20.125,20.55,236441,0,1,20.35,20.8,20.125,20.55,236441,0.98
ZUMZ,2/23/18,19.9,20.25,19.6,20.25,164698,0,1,19.9,20.25,19.6,20.25,164698,1.76
ZUMZ,2/22/18,19.55,20,19.35,19.8,195084,0,1,19.55,20,19.35,19.8,195084,1.28
ZUMZ,2/21/18,19.3,19.85,19.3,19.5,139877,0,1,19.3,19.85,19.3,19.5,139877,1.04
ZUMZ,2/20/18,19.95,20.1,19.2,19.3,250132,0,1,19.95,20.1,19.2,19.3,250132,-3.26
ZUMZ,2/16/18,20.05,20.55,20.05,20.1,284049,0,1,20.05,20.55,20.05,20.1,284049,0.25
ZUMZ,2/15/18,20.3,20.4,19.5,20.1,203298,0,1,20.3,20.4,19.5,20.1,203298,-0.99
ZUMZ,2/14/18,19.2,20.55,19.2,20.25,389195,0,1,19.2,20.55,19.2,20.25,389195,5.47
ZUMZ,2/13/18,19,20,19,19.2,535981,0,1,19,20,19,19.2,535981,1.05
ZUMZ,2/12/18,19.35,19.375,18.6,18.95,374597,0,1,19.35,19.375,18.6,18.95,374597,-2.07
ZUMZ,2/9/18,20.15,20.45,18.55,19.3,525121,0,1,20.15,20.45,18.55,19.3,525121,-4.22
ZUMZ,2/8/18,20.4,20.9,19.9,20.1,302991,0,1,20.4,20.9,19.9,20.1,302991,-1.47
ZUMZ,2/7/18,20.55,21.25,20.25,20.45,572968,0,1,20.55,21.25,20.25,20.45,572968,-0.49
ZUMZ,2/6/18,20.1,21.25,19.75,20.55,571899,0,1,20.1,21.25,19.75,20.55,571899,2.24
ZUMZ,2/5/18,20.45,21.2,20.3,20.4,612433,0,1,20.45,21.2,20.3,20.4,612433,-0.24
ZUMZ,2/2/18,20.8,21.1,19.8,20.6,491725,0,1,20.8,21.1,19.8,20.6,491725,-0.96
ZUMZ,2/1/18,20.75,21.4,20.25,20.85,547184,0,1,20.75,21.4,20.25,20.85,547184,0.48
ZUMZ,1/31/18,21.25,21.55,20.45,20.75,361761,0,1,21.25,21.55,20.45,20.75,361761,-2.35
ZUMZ,1/30/18,22.05,22.1,21.35,21.35,245903,0,1,22.05,22.1,21.35,21.35,245903,-3.17
