m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,per_end_date,per_type,per_code,per_fisc_year,per_fisc_qtr,per_cal_year,per_cal_qtr,form_7_type,curr_ratio,non_perform_asset_tot_loan,loan_loss_reserve,lterm_debt_cap,tot_debt_tot_equity,gross_margin,oper_profit_margin,ebit_margin,ebitda_margin,pretax_profit_margin,profit_margin,free_cash_flow,loss_ratio,exp_ratio,comb_ratio,asset_turn,invty_turn,rcv_turn,day_sale_rcv,ret_equity,ret_tang_equity,ret_asset,ret_invst,free_cash_flow_per_share,book_val_per_share,oper_cash_flow_per_share
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2018-09-30,A,,2018,4,2018,3,7,1.1329,,,0.4666,1.0685,38.3437,26.694,26.694,30.7992,27.4489,22.4142,64121.0,,,,0.7262,41.3943,5.4209,67.3325,55.5601,55.5601,16.2775,29.6348,12.8239,22.5336,15.4865
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2018-03-31,Q,,2018,2,2018,1,7,1.456,,,0.4441,0.9603,38.3107,25.9974,25.9974,,26.4455,22.6082,36418.0,,,,0.1664,4.9223,2.7284,32.9869,10.8939,10.8939,3.7611,6.0559,7.1852,25.6668,8.5672
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2018-06-30,Q,,2018,3,2018,2,7,1.3073,,,0.458,0.997,38.3385,23.6778,23.6778,,24.9395,21.6258,47639.0,,,,0.1525,5.533,2.0201,44.5514,10.021,10.021,3.2987,5.4315,9.6697,23.7355,11.7547
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2018-09-30,Q,,2018,4,2018,3,7,1.1329,,,0.4666,1.0685,38.2894,25.6248,25.6248,,26.1065,22.4563,64121.0,,,,0.172,9.8119,1.2838,70.1041,13.1828,13.1828,3.8622,7.0315,12.8239,22.5336,15.4865
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2018-12-31,Q,,2019,1,2018,4,7,1.3006,,,0.441,0.9732,37.9919,27.6907,27.6907,,28.3549,23.6805,23335.0,,,,0.2256,10.481,2.2798,39.4768,16.935,16.935,5.3422,9.4674,4.8887,24.9254,5.5916
AXP,AXP,AMER EXPRESS CO,American Express Company,NYSE,USD,2018-12-31,A,,2018,4,2018,4,7,,,,0.7238,2.7601,,,,,21.9597,18.3502,7620.0,,,,0.1961,,,,31.0498,31.0498,3.6696,8.5748,8.8708,26.3164,10.3958
AXP,AXP,AMER EXPRESS CO,American Express Company,NYSE,USD,2018-03-31,Q,,2018,1,2018,1,7,,,,0.7279,2.8934,,,,,23.2808,17.8911,1826.0,,,,0.0497,,,,8.3312,8.3312,0.908,2.2671,2.1208,22.8058,2.3961
AXP,AXP,AMER EXPRESS CO,American Express Company,NYSE,USD,2018-06-30,Q,,2018,2,2018,2,7,,,,0.7279,2.8756,,,,,22.7382,17.301,4560.0,,,,0.0497,,,,7.7685,7.7685,0.878,2.114,5.29,24.2648,5.9118
AXP,AXP,AMER EXPRESS CO,American Express Company,NYSE,USD,2018-09-30,Q,,2018,3,2018,3,7,,,,0.7204,2.7801,,,,,22.7083,17.3797,9311.0,,,,0.0493,,,,7.7074,7.7074,0.8747,2.1548,10.8267,25.1288,11.8395
AXP,AXP,AMER EXPRESS CO,American Express Company,NYSE,USD,2018-12-31,Q,,2018,4,2018,4,7,,,,0.7238,2.7601,,,,,19.2332,20.7458,7620.0,,,,0.0505,,,,9.0175,9.0175,1.0657,2.4903,8.8708,26.3164,10.3958
